month,region,item,total_issued
2017 Oct,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),265
2017 Nov,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),10
2017 Dec,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),5
2018 Jan,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),123
2018 Feb,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2018 Mar,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2018 Apr,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2018 May,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2018 Jun,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2018 Jul,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2018 Aug,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),109
2018 Sep,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),50
2018 Oct,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),240
2018 Nov,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),215
2018 Dec,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),40
2019 Jan,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2019 Feb,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2019 Mar,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2019 Apr,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),0
2019 May,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),80
2019 Jun,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),97
2019 Jul,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),10
2019 Aug,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),156
2019 Sep,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),10
2019 Oct,Addis Ababa,Amoxicillin - 125mg - Tablet (Dispersible),435
